"GeneSymbol","Entrez_ID"
"NFATC1","4772"
"ZNF460","10794"
"ZNF543","125919"
"BCL3","602"
"ZNF638","27332"
"GNB4","59345"
"MTHFD2P7","442098"
"RPL29P34","127566424"
"RN7SKP155","106479164"
"KLHL38","340359"
"LINC03002","101928304"
"MEMO1P2","645175"
"ITPK1","3705"
"NUCKS1","64710"
"HES4","57801"
"PERM1","84808"
"FRS2","10818"
"FAM76B","143684"
"NMNAT1P2","100129160"
"NTMT2","149281"
"MCUB","55013"
"PHKG1P3","5262"
"GTF2IP11","106480346"
"KIF1B","23095"
"MYOCD","93649"
"OPN1SW","611"
"EMILIN2","84034"
"SMCHD1","23347"
"H3P6","440926"
"FAF1","11124"
"APOB","338"
"LSP1","4046"
"SMG6","23293"
"KCNB1","3745"
"POLK","51426"
"CAPZB","832"
"THRB","7068"
"LRRC37A13P","106479024"
"USP28","57646"
"ZNF877P","100873811"
"XXYLT1","152002"
"LINC01572","101927957"
"YWHAE","7531"
"CRK","1398"
"POM121C","100101267"
"FOXK1","221937"
"OPLAH","26873"
"RAB25","57111"
"RHBDL2","54933"
"ITPR2","3709"
"RN7SL865P","106481154"
"LINC02463","105370004"
"CCT2","10576"
"LAT","27040"
"NPIPB10P","730153"
"RNA5SP443","106481745"
"ARHGAP27","201176"
"WDR62","284403"
"ANXA4","307"
"SMTN","6525"
"PMS2P3","5387"
"ADRA1A","148"
"DPYSL2","1808"
"FBXO32","114907"
"CELSR2","1952"
"SMAD6","4091"
"SMASR","102723481"
"RPL31P23","391581"
"PCCB","5096"
"SF3B1","23451"
"DUSP13A","128854680"
"DUSP13B","51207"
"SAMD8","142891"
"MXD1","4084"
"KIF3C","3797"
"CLCN6","1185"
"PLCL1","5334"
"ALDH2","217"
"EPHA3","2042"
"SLC30A3","7781"
"ZBTB38","253461"
"IGSF11","152404"
"MTCO1P6","107075137"
"GYG1","2992"
"PKD2L2","27039"
"PLEKHG4B","153478"
"SPOCK1","6695"
"KLHL3","26249"
"RPL7AP33","391850"
"BNIP1","662"
"MIR5197","100846991"
"LINC00326","285735"
"ZNF292","23036"
"OR7E158P","392194"
"ANKRD26","22852"
"FAM238C","387644"
"SIRT1","23411"
"SIK3","23387"
"STIM1","6786"
"ZNF131","7690"
"HCN4","10021"
"HERC1","8925"
"REC114","283677"
"CORO1A","11151"
"MAPK3","5595"
"THADA","63892"
"LINC02808","105378712"
"CBX6","23466"
"BVES","11149"
"TARID","100507308"
"DINOL","108783646"
"PTCHD1","139411"
"CFAP410","755"
"ABHD10","55347"
"RPL23AP8","641614"
"COPG1","22820"
"RPS27P12","100271117"
"PLEKHJ1","55111"
"DOT1L","84444"
"RXRG","6258"
